rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1323,0,0.446,0.746,3.7948,7.4678,4.502,0.0,0.8395,0.8509,15.98,19.369,52.087
1324,0,0.4362,0.7362,3.7948,7.4677,4.5035,0.0,0.8385,0.8496,16.06,19.573,52.069
1325,0,0.4782,0.7782,3.7948,7.4833,4.5049,0.0,0.8376,0.8505,16.05,19.193,52.079
1326,0,0.4465,0.7465,3.7948,7.4703,4.506,0.0,0.8365,0.8478,16.01,19.818,52.039
1327,0,0.4536,0.7536,3.7948,7.4661,4.5073,0.0,0.8356,0.8493,16.04,19.901,52.073
1328,0,0.4722,0.7722,3.7948,7.4744,4.5085,0.0,0.8345,0.851,15.95,19.66,52.106
1329,0,0.4996,0.7996,3.7948,7.4853,4.5098,0.0,0.8335,0.8515,16.03,20.044,52.115
1330,0,0.4953,0.7953,3.7948,7.485,4.5109,0.0,0.8325,0.8528,16.05,20.078,52.128
1331,0,0.4873,0.7873,3.7948,7.484,4.512,0.0,0.8314,0.8519,15.96,19.923,52.118
1332,0,0.4781,0.7781,3.7948,7.4841,4.513,0.0,0.8303,0.8523,15.92,20.249,52.159
1333,0,0.4743,0.7743,3.7948,7.4891,4.5145,0.0,0.8294,0.8531,16.09,19.688,52.133
1334,0,0.4844,0.7844,3.7948,7.4808,4.5159,0.0,0.8284,0.8542,16.06,19.285,52.141
1335,0,0.4869,0.7869,3.7948,7.4898,4.5173,0.0,0.8275,0.8558,16.07,19.433,52.21
1336,0,0.4863,0.7863,3.7948,7.4895,4.5187,0.0,0.8265,0.8536,16.04,19.61,52.158
1337,0,0.4443,0.7443,3.7948,7.4808,4.52,0.0,0.8254,0.8539,15.97,19.515,52.175
1338,0,0.3967,0.6967,3.7948,7.4781,4.5213,0.0,0.8244,0.8531,16.01,19.791,52.177
1339,0,0.3726,0.6726,3.7948,7.4692,4.5226,0.0,0.8235,0.8521,16.09,19.863,52.099
